Continent;Country;PlotID;PlotCode;PlotViewID;LatitudeDecimal;LongitudeDecimal;;Altitude;PlotArea;TreeID;FamilyAPGID;Family;GenusID;Genus;SpeciesID;Species;Census.No;Census.Mean.Date;D1;DPOMtMinus1;D2;D3;D4;POM;F1;F2;F3;F4;Height;F5;LI;CI;WD;AllometricRegionID;ClusterID;ForestMoistureID;ForestEdaphicID;ForestEdaphicHeightID;ForestElevationID;ForestElevationHeightID;BiogeographicalRegionID;Monocot;PomChange;Recruit;Tag.No;Sub.Plot.T1;Stem
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051949;;Myrtaceae;;Eugenia;;Eugenia handroi;2;2019.644;229;;229;229;229;1300;ah;1;0;0;11.5;4;;;;;;;;;;;;;;;825a;I3NE1;825a
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051617;;Araucariaceae;;Araucaria;;Araucaria angustifolia;2;2019.644;428;;428;428;428;1300;a;1;0;4;20;4;;;;;;;;;;;;;;;904;I2NW10;
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2052041;;Myrtaceae;;Myrciaria;;Myrciaria floribunda;2;2019.644;345;;345;345;345;1300;a;1;0;0;10;4;;;;;;;;;;;;;;;897;I3NE2;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051354;;Myrtaceae;;Myrceugenia;;Myrceugenia euosma;2;2019.644;177;;177;177;177;1300;ah;1;0;4;11;4;;;;;;;;;;;;;;;609b;I1SW9;609a
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051523;;Myrtaceae;;Myrcia;;Myrcia lajeana;2;2019.644;137;;137;137;137;1300;ah;1;0;4;8;4;;;;;;;;;;;;;;;728b;I1NE1;728b
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051500;;Myrtaceae;;Myrcia;;Myrcia lajeana;2;2019.644;113;;113;113;113;1300;a;1;0;4;9;4;;;;;;;;;;;;;;;715;I1NE1;
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051972;;Myrtaceae;;Myrciaria;;Myrciaria floribunda;2;2019.644;462;;462;462;462;1300;a;1;0;0;15;4;;;;;;;;;;;;;;;844;I3SW9;
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2052024;;Myrtaceae;;Myrciaria;;Myrciaria floribunda;2;2019.644;102;;102;102;102;1300;an;1;0;0;7.5;4;;;;;;;;;;;;;;;887;I3NE3;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051408;;Myrtaceae;;Myrceugenia;;Myrceugenia myrcioides;2;2019.644;139;;139;139;139;1300;a;1;0;4;10;4;;;;;;;;;;;;;;;654;I1NW11;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051546;;Araucariaceae;;Araucaria;;Araucaria angustifolia;2;2019.644;589;;197;197;197;1300;a;1;0;2;15;4;;;;;;;;;;;;;;;741;I1SE5;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051377;;Myrtaceae;;Myrceugenia;;Myrceugenia miersiana;2;2019.644;185;;185;185;185;1300;a;1;0;4;7;4;;;;;;;;;;;;;;;629;I1SW7;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051477;;Myrtaceae;;Myrceugenia;;Myrceugenia euosma;2;2019.644;155;;155;155;155;1300;a;1;0;4;7;4;;;;;;;;;;;;;;;702;I1NE3;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051692;;Araucariaceae;;Araucaria;;Araucaria angustifolia;2;2019.644;264;;264;264;264;1300;a;1;0;4;15.5;4;;;;;;;;;;;;;;;963;I2NE3;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051686;;Myrtaceae;;Myrceugenia;;Myrceugenia mesomischa;2;2019.644;194;;194;194;194;1300;ah;1;0;4;10;4;;;;;;;;;;;;;;;949b;I2NE3;949b
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051494;;Myrtaceae;;Siphoneugena;;Siphoneugena reitzii;2;2019.644;156;;156;156;156;1300;a;1;0;4;6;4;;;;;;;;;;;;;;;712;I1NE3;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051483;;Winteraceae;;Drimys;;Drimys brasiliensis;2;2019.644;119;;119;119;119;1300;a;1;0;4;7;4;;;;;;;;;;;;;;;708;I1NE3;
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051995;;Aquifoliaceae;;Ilex;;Ilex microdonta;2;2019.644;0;;0;0;0;0;0;aps;0;0;;;;;;;;;;;;;;;;;865;I3NW12;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051586;;Araucariaceae;;Araucaria;;Araucaria angustifolia;2;2019.644;404;;404;404;404;1300;a;1;0;4;18;4;;;;;;;;;;;;;;;769;I1SE6;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051600;;Myrtaceae;;Myrceugenia;;Myrceugenia euosma;2;2019.644;0;;0;0;0;;0;mps;0;;;;;;;;;;;;;;;;;;778d;I1SE6;778b
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051400;;Araucariaceae;;Araucaria;;Araucaria angustifolia;2;2019.644;306;;306;306;306;1300;a;1;0;4;18;4;;;;;;;;;;;;;;;646;I1NW10;
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2052004;;Myrtaceae;;Myrcia;;Myrcia guianensis;2;2019.644;341;;0;0;0;1300;0;mps;0;2;8;4;;;;;;;;;;;;;;;874a;I3NW12;874b
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051606;;Myrtaceae;;Myrceugenia;;Myrceugenia euosma;2;2019.644;107;;107;107;107;1300;ah;1;0;4;11;4;;;;;;;;;;;;;;;783b;I1SE6;783e
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051978;;Myrtaceae;;Eugenia;;Eugenia handroi;2;2019.644;228;;228;228;228;1300;a;1;0;0;9;4;;;;;;;;;;;;;;;850;I3SW8;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051646;;Lauraceae;;Ocotea;;Ocotea pulchella;2;2019.644;116;;116;116;116;1300;a;1;0;4;9;4;;;;;;;;;;;;;;;923;I2NW11;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051740;;Myrtaceae;;Myrceugenia;;Myrceugenia myrcioides;2;2019.644;103;;271;271;271;1300;a;1;0;2;12.5;4;;;;;;;;;;;;;;;989b;I2NE2;989b
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051640;;Araucariaceae;;Araucaria;;Araucaria angustifolia;2;2019.644;458;;458;458;458;1300;a;1;0;4;20;4;;;;;;;;;;;;;;;918;I2NW11;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051540;;Myrtaceae;;Siphoneugena;;Siphoneugena reitzii;2;2019.644;248;;248;248;248;1300;a;1;0;4;10;4;;;;;;;;;;;;;;;737;I1SE5;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051440;;Araucariaceae;;Araucaria;;Araucaria angustifolia;2;2019.644;231;;231;231;231;1300;a;1;0;4;12;4;;;;;;;;;;;;;;;677;I1NW11;
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051906;;Sapindaceae;;Allophylus;;Allophylus edulis;2;2019.644;131;;131;131;131;1300;a;1;0;0;8;4;;;;;;;;;;;;;;;790;I3SE4;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051849;;Fabaceae;;Inga;;Inga virescens;2;2019.644;;;0;0;0;0;0;bps;;;;;;;;;;;;;;;;;;;1064;I2SW7;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051391;;Clethraceae;;Clethra;;Clethra scabra;2;2019.644;374;;374;374;374;1300;a;1;0;4;17;4;;;;;;;;;;;;;;;641;I1NW10;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051689;;Myrtaceae;;Myrceugenia;;Myrceugenia myrcioides;2;2019.644;132;;132;132;132;1300;a;1;0;4;9;4;;;;;;;;;;;;;;;960;I2NE3;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051806;;Cunoniaceae;;Lamanonia;;Lamanonia ternata;2;2019.644;304;;304;304;304;1300;a;1;0;4;13;4;;;;;;;;;;;;;;;1036;I2SE4;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051720;;Myrtaceae;;Myrceugenia;;Myrceugenia miersiana;2;2019.644;213;;213;213;213;1300;ah;1;0;4;11;4;;;;;;;;;;;;;;;978d;I2NE1;978d
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051420;;Araucariaceae;;Araucaria;;Araucaria angustifolia;2;2019.644;295;;295;295;295;1300;a;1;0;4;17;4;;;;;;;;;;;;;;;664;I1NW11;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051371;;Myrtaceae;;Myrcia;;Myrcia lajeana;2;2019.644;207;;207;207;207;1300;a;1;0;4;12;4;;;;;;;;;;;;;;;624;I1SW7;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051760;;Lauraceae;;Ocotea;;Ocotea porosa;2;2019.644;214;;214;214;214;1300;ah;1;0;4;12.5;4;;;;;;;;;;;;;;;1000g;I2SE6;1000a
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051677;;Myrtaceae;;Eugenia;;Eugenia handroi;2;2019.644;172;;172;172;172;1300;a;1;0;4;14;4;;;;;;;;;;;;;;;942;I2NW12;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051574;;Myrtaceae;;Calyptranthes;;Calyptranthes concinna;2;2019.644;0;;0;0;0;;0;bps;0;;;;;;;;;;;;;;;;;;764a;I1SE4;764a
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051351;;Myrtaceae;;Myrceugenia;;Myrceugenia miersiana;2;2019.644;0;;0;0;0;;0;mrs;0;;;;;;;;;;;;;;;;;;607;I1SW8;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051620;;Myrtaceae;;Myrceugenia;;Myrceugenia mesomischa;2;2019.644;147;;147;147;147;1300;ah;1;0;4;10.5;4;;;;;;;;;;;;;;;905c;I2NW10;905c
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051503;;Araucariaceae;;Araucaria;;Araucaria angustifolia;2;2019.644;416;;416;416;416;1300;a;1;0;4;18;4;;;;;;;;;;;;;;;717;I1NE1;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051700;;Myrtaceae;;Myrceugenia;;Myrceugenia mesomischa;2;2019.644;74;;125;125;125;1300;a;1;0;2;9.5;4;;;;;;;;;;;;;;;966d;I2NE3;966d
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051457;;Myrtaceae;;Siphoneugena;;Siphoneugena reitzii;2;2019.644;132;;132;132;132;1300;a;1;0;4;7;4;;;;;;;;;;;;;;;689;I1NE2;
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051912;;Myrtaceae;;Eugenia;;Eugenia subterminalis;2;2019.644;113;;113;113;113;1300;a;1;0;0;11;4;;;;;;;;;;;;;;;795;I3SE6;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051577;;Myrtaceae;;Eugenia;;Eugenia oeidocarpa;2;2019.644;127;;127;127;127;1300;ah;1;0;4;7;4;;;;;;;;;;;;;;;766a;I1SE4;766b
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051726;;Euphorbiaceae;;Sapium;;Sapium glandulosum;2;2019.644;;;0;0;0;0;0;krs;;;;;;;;;;;;;;;;;;;984;I2NE2;
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051938;;Lauraceae;;Ocotea;;Ocotea porosa;2;2019.644;261;;261;261;261;1300;a;1;0;0;11;4;;;;;;;;;;;;;;;817;I3NE1;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051772;;Lauraceae;;Ocotea;;Ocotea elegans;2;2019.644;186;;186;186;186;1300;a;1;0;4;16;4;;;;;;;;;;;;;;;1008;I2SE6;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051537;;Myrtaceae;;Calyptranthes;;Calyptranthes concinna;2;2019.644;116;;116;116;116;1300;ah;1;0;4;4;4;;;;;;;;;;;;;;;735a;I1SE5;735a
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051637;;Myrtaceae;;Myrceugenia;;Myrceugenia mesomischa;2;2019.644;109;;109;109;109;1300;ah;1;0;4;10;4;;;;;;;;;;;;;;;915b;I2NW10;915b
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051357;;Myrtaceae;;Siphoneugena;;Siphoneugena reitzii;2;2019.644;213;;213;213;213;1300;a;1;0;4;14;4;;;;;;;;;;;;;;;612;I1SW9;
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051998;;Cunoniaceae;;Weinmannia;;Weinmannia paulliniifolia;2;2019.644;162;;162;162;162;1300;d;1;0;0;8;4;;;;;;;;;;;;;;;868;I3NW12;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051829;;Myrtaceae;;Eugenia;;Eugenia handroi;2;2019.644;280;;280;280;280;1300;a;1;0;4;11;4;;;;;;;;;;;;;;;1053;I2SW7;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051365;;Myrtaceae;;Myrceugenia;;Myrceugenia miersiana;2;2019.644;122;;122;122;122;1300;ah;1;0;4;6;4;;;;;;;;;;;;;;;618b;I1SW9;618b
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051660;;Myrtaceae;;Myrceugenia;;Myrceugenia mesomischa;2;2019.644;161;;161;161;161;1300;a;1;0;4;9;4;;;;;;;;;;;;;;;930;I2NW11;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051374;;Myrtaceae;;Siphoneugena;;Siphoneugena reitzii;2;2019.644;134;;134;134;134;1300;a;1;0;4;9.5;4;;;;;;;;;;;;;;;627;I1SW7;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051752;;Myrtaceae;;Eugenia;;Eugenia handroi;2;2019.644;102;;102;102;102;1300;a;1;0;4;12.5;4;;;;;;;;;;;;;;;998;I2SE6;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051554;;Araucariaceae;;Araucaria;;Araucaria angustifolia;2;2019.644;207;;207;207;207;1300;a;1;0;4;12;4;;;;;;;;;;;;;;;746;I1SE5;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051666;;Myrtaceae;;Eugenia;;Eugenia handroi;2;2019.644;156;;156;156;156;1300;a;1;0;4;12;4;;;;;;;;;;;;;;;935;I2NW12;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051563;;Myrtaceae;;Eugenia;;Eugenia subterminalis;2;2019.644;108;;108;108;108;1300;ahn;1;0;4;8;4;;;;;;;;;;;;;;;754b;I1SE5;754a
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051663;;Araucariaceae;;Araucaria;;Araucaria angustifolia;2;2019.644;319;;319;319;319;1300;a;1;0;4;17;4;;;;;;;;;;;;;;;932;I2NW11;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051597;;Myrtaceae;;Myrceugenia;;Myrceugenia euosma;2;2019.644;133;;133;133;133;1300;ah;1;0;4;10;4;;;;;;;;;;;;;;;778a;I1SE6;778b
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051480;;Salicaceae;;Casearia;;Casearia decandra;2;2019.644;288;;288;288;288;1300;a;1;0;4;10;4;;;;;;;;;;;;;;;705;I1NE3;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051803;;Salicaceae;;Casearia;;Casearia decandra;2;2019.644;116;;116;116;116;1300;a;1;0;4;10;4;;;;;;;;;;;;;;;1033;I2SE4;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051368;;Myrtaceae;;Eugenia;;Eugenia oeidocarpa;2;2019.644;115;;115;115;115;1300;a;1;0;4;9;4;;;;;;;;;;;;;;;621;I1SW9;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051452;;Myrtaceae;;Myrcia;;Myrcia lajeana;2;2019.644;186;;186;186;186;1300;ah;1;0;4;11;4;;;;;;;;;;;;;;;684b;I1NW12;684b
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051999;;Theaceae;;Laplacea;;Laplacea acutifolia;2;2019.644;114;;114;114;114;1300;a;1;0;0;9;4;;;;;;;;;;;;;;;869;I3NW12;
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051924;;Sapindaceae;;Allophylus;;Allophylus edulis;2;2019.644;166;;166;166;166;1300;a;1;0;0;13;4;;;;;;;;;;;;;;;804;I3SE6;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051428;;Myrtaceae;;Siphoneugena;;Siphoneugena reitzii;2;2019.644;246;;246;246;246;1300;a;1;0;4;12;4;;;;;;;;;;;;;;;669;I1NW11;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051451;;Myrtaceae;;Myrcia;;Myrcia lajeana;2;2019.644;116;;116;116;116;1300;ah;1;0;4;11;4;;;;;;;;;;;;;;;684a;I1NW12;684b
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051569;;Myrtaceae;;Eugenia;;Eugenia uruguayensis;2;2019.644;183;;183;183;183;1300;a;1;0;4;10;4;;;;;;;;;;;;;;;759;I1SE4;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051491;;Myrtaceae;;Myrceugenia;;Myrceugenia euosma;2;2019.644;145;;145;145;145;1300;ah;1;0;4;9.5;4;;;;;;;;;;;;;;;711c;I1NE3;711c
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2052044;;Myrtaceae;;Eugenia;;Eugenia subterminalis;2;2019.644;135;;135;135;135;1300;a;1;0;0;7.5;4;;;;;;;;;;;;;;;900;I3NE2;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051592;;Araucariaceae;;Araucaria;;Araucaria angustifolia;2;2019.644;0;;0;0;0;;0;dps;0;;;;;;;;;;;;;;;;;;774;I1SE6;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051352;;Winteraceae;;Drimys;;Drimys brasiliensis;2;2019.644;0;;0;0;0;;0;aps;0;;;;;;;;;;;;;;;;;;608;I1SW9;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051511;;Aquifoliaceae;;Ilex;;Ilex microdonta;2;2019.644;301;;301;301;301;1300;a;1;0;4;10;4;;;;;;;;;;;;;;;722;I1NE1;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051683;;Myrtaceae;;Eugenia;;Eugenia handroi;2;2019.644;223;;223;223;223;1300;a;1;0;4;17.5;4;;;;;;;;;;;;;;;947;I2NW12;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051724;;Araucariaceae;;Araucaria;;Araucaria angustifolia;2;2019.644;484;;484;484;484;1300;a;1;0;4;20;4;;;;;;;;;;;;;;;982;I2NE1;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051624;;Araucariaceae;;Araucaria;;Araucaria angustifolia;2;2019.644;184;;184;184;184;1300;a;1;0;4;11;4;;;;;;;;;;;;;;;909;I2NW10;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051369;;Myrtaceae;;Eugenia;;Eugenia oeidocarpa;2;2019.644;116;;116;116;116;1300;a;1;0;4;10;4;;;;;;;;;;;;;;;622;I1SW9;
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051967;;Winteraceae;;Drimys;;Drimys brasiliensis;2;2019.644;0;;0;0;0;0;0;aps;0;0;;;;;;;;;;;;;;;;;839;I3SW9;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051469;;Lauraceae;;Ocotea;;Ocotea pulchella;2;2019.644;624;;624;624;624;1300;a;1;0;4;12.5;4;;;;;;;;;;;;;;;696;I1NE2;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051680;;Salicaceae;;Casearia;;Casearia decandra;2;2019.644;146;;146;146;146;1300;a;1;0;4;14;4;;;;;;;;;;;;;;;944;I2NW12;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2336663;;Aquifoliaceae;;Ilex;;Ilex microdonta;2;2019.644;344;;344;344;344;1300;a;1;0;4;11;4;;;;;;;;;;;;;;;15277;I1NE3;
